"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"NORD","Nord Anglia Education, Inc.","32.95","$3.43B","2014","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/nord",
"NAO","Nordic American Offshore Ltd","1.22","$75.62M","2014","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/nao",
"NAT","Nordic American Tankers Limited","6.21","$633.23M","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/nat",
"JWN","Nordstrom, Inc.","46.94","$7.79B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/jwn",
"NSC","Norfolk Souther Corporation","120.67","$34.97B","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/nsc",
"NTL","Nortel Inversora SA","33.66","$4.58B","1997","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/ntl",
"NOA","North American Energy Partners, Inc.","4.25","$134M","2006","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/noa",
"NADL","North Atlantic Drilling Ltd.","1.777","$42.85M","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/nadl",
"NRT","North European Oil Royality Trust","6.22","$57.17M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/nrt",
"NOC","Northrop Grumman Corporation","264.92","$46.25B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/noc",
"NRE","NorthStar Realty Europe Corp.","12.74","$703.99M","2015","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/nre",
"NWN","Northwest Natural Gas Company","61.25","$1.75B","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/nwn",
"NWE","NorthWestern Corporation","59.74","$2.89B","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/nwe",
"NVS","Novartis AG","85.03","$201.15B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/nvs",
"NVO","Novo Nordisk A/S","42.57","$108.55B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/nvo",
"DNOW","NOW Inc.","16.57","$1.78B","2014","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/dnow",
"NQ","NQ Mobile Inc.","3.53","$344.94M","2011","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/nq",
"NRG","NRG Energy, Inc.","24","$7.59B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/nrg",
"NYLD","NRG Yield, Inc.","18.45","$3.38B","2015","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/nyld",
